1/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 4.300000000000001
2/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 4.32
3/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 4.12
4/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 4.2700000000000005
5/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 4.36
6/2940 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 3.93
7/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 81.48
8/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.14
9/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 82.64
10/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.73
11/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.74000000000001
12/2940 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.18
13/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 81.60000000000001
14/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.41000000000001
15/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 82.51
16/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.83
17/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.87
18/2940 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.19000000000001
19/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 81.86
20/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.37
21/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 82.77
22/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 83.0
23/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.21000000000001
24/2940 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.17
25/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 81.9
26/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.47
27/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 82.88000000000001
28/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 83.03
29/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.19000000000001
30/2940 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.28
31/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 82.03
32/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.85
33/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 82.86
34/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 83.12
35/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.42
36/2940 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.55
37/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 82.23
38/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 82.95
39/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 83.15
40/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 83.30000000000001
41/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.67999999999999
42/2940 w = uniform, k = 1, l1 = 0, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.78
43/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 84.85000000000001
44/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.17
45/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.27
46/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.36
47/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.58
48/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.87
49/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 84.82000000000001
50/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.07000000000001
51/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.26
52/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.4
53/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.55
54/2940 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.62
55/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 84.89
56/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.23
57/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.37
58/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.30000000000001
59/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.62
60/2940 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.68
61/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 84.88
62/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.17
63/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.39
64/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.59
65/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.72000000000001
66/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.88
67/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 84.87
68/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.12
69/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.28
70/2940 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.49
