1/1800 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 3.7600000000000002
2/1800 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 4.12
3/1800 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 3.6799999999999997
4/1800 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 3.81
5/1800 w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 3.74
6/1800 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.74000000000001
7/1800 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.87
8/1800 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.2
9/1800 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.15
10/1800 w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.30000000000001
11/1800 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.94
12/1800 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.96
13/1800 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.09
14/1800 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.03
15/1800 w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.13000000000001
16/1800 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.88000000000001
17/1800 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.18
18/1800 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.32000000000001
19/1800 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.25
20/1800 w = uniform, k = 1, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.51
21/1800 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.96
22/1800 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.16
23/1800 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.06
24/1800 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.47
25/1800 w = uniform, k = 1, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.58
26/1800 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 83.35000000000001
27/1800 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.32000000000001
28/1800 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.58
29/1800 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.64
30/1800 w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.48
31/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.55
32/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.52000000000001
33/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.64
34/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 85.80000000000001
35/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 85.77
36/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.55
37/1800 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.64
