1/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
2/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
3/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
4/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
5/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
6/200 w = uniform, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.89000000000001
7/200 w = uniform, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 55.07000000000001
8/200 w = uniform, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 55.32
9/200 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 56.52
10/200 w = uniform, k = 1, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.7400000000000002
11/200 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.78000000000001
12/200 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.84
13/200 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.94
14/200 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.89000000000001
15/200 w = uniform, k = 1, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.59
16/200 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.32
17/200 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.27000000000001
18/200 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.300000000000004
19/200 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 54.290000000000006
20/200 w = uniform, k = 1, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 55.790000000000006
21/200 w = uniform, k = 1, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.33
22/200 w = uniform, k = 1, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.28000000000001
23/200 w = uniform, k = 1, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.239999999999995
24/200 w = uniform, k = 1, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.12
25/200 w = uniform, k = 1, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 52.93
26/200 ERROR w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
27/200 ERROR w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
28/200 ERROR w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
29/200 ERROR w = uniform, k = 3, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
30/200 ERROR w = uniform, k = 3, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
31/200 w = uniform, k = 3, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.1
32/200 w = uniform, k = 3, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.27000000000001
33/200 w = uniform, k = 3, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.620000000000005
