w = uniform, k = 1, l1 = 1, l2 = 1, accuracy = 85.44
w = uniform, k = 3, l1 = 1, l2 = 1, accuracy = 85.50000000000001
w = uniform, k = 5, l1 = 1, l2 = 1, accuracy = 85.35000000000001
w = uniform, k = 10, l1 = 1, l2 = 1, accuracy = 85.39
w = uniform, k = 20, l1 = 1, l2 = 1, accuracy = 85.18
w = uniform, k = 50, l1 = 1, l2 = 1, accuracy = 85.12
w = uniform, k = 100, l1 = 1, l2 = 1, accuracy = 84.95

w = distance, k = 1, l1 = 1, l2 = 1, accuracy = 85.44
w = distance, k = 3, l1 = 1, l2 = 1, accuracy = 85.50000000000001
w = distance, k = 5, l1 = 1, l2 = 1, accuracy = 85.35000000000001
w = distance, k = 10, l1 = 1, l2 = 1, accuracy = 85.28999999999999
w = distance, k = 20, l1 = 1, l2 = 1, accuracy = 85.18
w = distance, k = 50, l1 = 1, l2 = 1, accuracy = 85.10000000000001
w = distance, k = 100, l1 = 1, l2 = 1, accuracy = 84.92

