test_id,weight,k,l1,l2,tukey,tukey_lambda,seed,kmeans,accuracy
1,uniform,1,0.5,0,True,1,200,10,85.45
2,uniform,1,0.5,0,True,1,300,10,85.59
3,uniform,1,0.5,0,True,1,400,10,85.52000000000001
4,uniform,1,0.5,0,True,1,200,25,85.69
5,uniform,1,0.5,0,True,1,300,25,85.71000000000001
6,uniform,1,0.5,0,True,1,400,25,85.53
7,uniform,1,0.5,0,True,1,200,50,85.59
8,uniform,1,0.5,0,True,1,300,50,85.83000000000001
9,uniform,1,0.5,0,True,1,400,50,85.64
10,uniform,1,0.5,0,True,1,200,100,85.74000000000001
11,uniform,1,0.5,0,True,1,300,100,85.73
12,uniform,1,0.5,0,True,1,400,100,85.96000000000001
13,uniform,1,0.5,0.5,True,1,200,10,85.39
14,uniform,1,0.5,0.5,True,1,300,10,85.44
15,uniform,1,0.5,0.5,True,1,400,10,85.45
16,uniform,1,0.5,0.5,True,1,200,25,85.67
17,uniform,1,0.5,0.5,True,1,300,25,85.69
18,uniform,1,0.5,0.5,True,1,400,25,85.48
19,uniform,1,0.5,0.5,True,1,200,50,85.59
20,uniform,1,0.5,0.5,True,1,300,50,85.76
21,uniform,1,0.5,0.5,True,1,400,50,85.65
22,uniform,1,0.5,0.5,True,1,200,100,85.73
23,uniform,1,0.5,0.5,True,1,300,100,85.58
24,uniform,1,0.5,0.5,True,1,400,100,85.94000000000001
25,uniform,1,0.5,1,True,1,200,10,85.46000000000001
26,uniform,1,0.5,1,True,1,300,10,85.60000000000001
27,uniform,1,0.5,1,True,1,400,10,85.53
28,uniform,1,0.5,1,True,1,200,25,85.68
29,uniform,1,0.5,1,True,1,300,25,85.73
30,uniform,1,0.5,1,True,1,400,25,85.52000000000001
31,uniform,1,0.5,1,True,1,200,50,85.63000000000001
32,uniform,1,0.5,1,True,1,300,50,85.85000000000001
33,uniform,1,0.5,1,True,1,400,50,85.65
34,uniform,1,0.5,1,True,1,200,100,85.72000000000001
35,uniform,1,0.5,1,True,1,300,100,85.73
36,uniform,1,0.5,1,True,1,400,100,85.96000000000001
37,uniform,1,0.5,2,True,1,200,10,85.47
38,uniform,1,0.5,2,True,1,300,10,85.58
39,uniform,1,0.5,2,True,1,400,10,85.53
40,uniform,1,0.5,2,True,1,200,25,85.68
41,uniform,1,0.5,2,True,1,300,25,85.73
42,uniform,1,0.5,2,True,1,400,25,85.53
43,uniform,1,0.5,2,True,1,200,50,85.62
44,uniform,1,0.5,2,True,1,300,50,85.84
45,uniform,1,0.5,2,True,1,400,50,85.65
46,uniform,1,0.5,2,True,1,200,100,85.75
47,uniform,1,0.5,2,True,1,300,100,85.74000000000001
48,uniform,1,0.5,2,True,1,400,100,85.97
49,uniform,1,0.5,2.5,True,1,200,10,85.47
50,uniform,1,0.5,2.5,True,1,300,10,85.59
51,uniform,1,0.5,2.5,True,1,400,10,85.53
52,uniform,1,0.5,2.5,True,1,200,25,85.69
53,uniform,1,0.5,2.5,True,1,300,25,85.72000000000001
54,uniform,1,0.5,2.5,True,1,400,25,85.53
55,uniform,1,0.5,2.5,True,1,200,50,85.62
56,uniform,1,0.5,2.5,True,1,300,50,85.84
57,uniform,1,0.5,2.5,True,1,400,50,85.66
58,uniform,1,0.5,2.5,True,1,200,100,85.76
59,uniform,1,0.5,2.5,True,1,300,100,85.74000000000001
60,uniform,1,0.5,2.5,True,1,400,100,85.98
61,uniform,1,0.5,5,True,1,200,10,85.47
62,uniform,1,0.5,5,True,1,300,10,85.58
63,uniform,1,0.5,5,True,1,400,10,85.54
64,uniform,1,0.5,5,True,1,200,25,85.69
65,uniform,1,0.5,5,True,1,300,25,85.73
66,uniform,1,0.5,5,True,1,400,25,85.52000000000001
67,uniform,1,0.5,5,True,1,200,50,85.61000000000001
68,uniform,1,0.5,5,True,1,300,50,85.83000000000001
69,uniform,1,0.5,5,True,1,400,50,85.65
70,uniform,1,0.5,5,True,1,200,100,85.77
71,uniform,1,0.5,5,True,1,300,100,85.73
72,uniform,1,0.5,5,True,1,400,100,86.0
73,uniform,1,0.5,10,True,1,200,10,85.48
74,uniform,1,0.5,10,True,1,300,10,85.58
75,uniform,1,0.5,10,True,1,400,10,85.53
76,uniform,1,0.5,10,True,1,200,25,85.69
77,uniform,1,0.5,10,True,1,300,25,85.72000000000001
78,uniform,1,0.5,10,True,1,400,25,85.52000000000001
79,uniform,1,0.5,10,True,1,200,50,85.59
80,uniform,1,0.5,10,True,1,300,50,85.83000000000001
81,uniform,1,0.5,10,True,1,400,50,85.66
82,uniform,1,0.5,10,True,1,200,100,85.77
83,uniform,1,0.5,10,True,1,300,100,85.74000000000001
84,uniform,1,0.5,10,True,1,400,100,86.0
85,uniform,1,1,0,True,1,200,10,85.96000000000001
86,uniform,1,1,0,True,1,300,10,86.06
87,uniform,1,1,0,True,1,400,10,85.99
88,uniform,1,1,0,True,1,200,25,86.29
89,uniform,1,1,0,True,1,300,25,86.22000000000001
90,uniform,1,1,0,True,1,400,25,86.0
91,uniform,1,1,0,True,1,200,50,86.29
92,uniform,1,1,0,True,1,300,50,86.27
93,uniform,1,1,0,True,1,400,50,86.27
94,uniform,1,1,0,True,1,200,100,86.11000000000001
95,uniform,1,1,0,True,1,300,100,86.05000000000001
96,uniform,1,1,0,True,1,400,100,86.28
97,uniform,1,1,0.5,True,1,200,10,85.96000000000001
98,uniform,1,1,0.5,True,1,300,10,86.07000000000001
99,uniform,1,1,0.5,True,1,400,10,85.98
100,uniform,1,1,0.5,True,1,200,25,86.29
101,uniform,1,1,0.5,True,1,300,25,86.2
102,uniform,1,1,0.5,True,1,400,25,86.0
103,uniform,1,1,0.5,True,1,200,50,86.28
104,uniform,1,1,0.5,True,1,300,50,86.24000000000001
105,uniform,1,1,0.5,True,1,400,50,86.27
106,uniform,1,1,0.5,True,1,200,100,86.09
107,uniform,1,1,0.5,True,1,300,100,86.06
108,uniform,1,1,0.5,True,1,400,100,86.29
109,uniform,1,1,1,True,1,200,10,85.99
110,uniform,1,1,1,True,1,300,10,86.0
111,uniform,1,1,1,True,1,400,10,85.98
112,uniform,1,1,1,True,1,200,25,86.22000000000001
113,uniform,1,1,1,True,1,300,25,86.21000000000001
114,uniform,1,1,1,True,1,400,25,86.03
115,uniform,1,1,1,True,1,200,50,86.23
116,uniform,1,1,1,True,1,300,50,86.25
117,uniform,1,1,1,True,1,400,50,86.27
118,uniform,1,1,1,True,1,200,100,86.07000000000001
119,uniform,1,1,1,True,1,300,100,86.03
120,uniform,1,1,1,True,1,400,100,86.26
121,uniform,1,1,2,True,1,200,10,85.96000000000001
122,uniform,1,1,2,True,1,300,10,86.04
123,uniform,1,1,2,True,1,400,10,86.02000000000001
124,uniform,1,1,2,True,1,200,25,86.29
125,uniform,1,1,2,True,1,300,25,86.25
126,uniform,1,1,2,True,1,400,25,86.0
127,uniform,1,1,2,True,1,200,50,86.29
128,uniform,1,1,2,True,1,300,50,86.28
